# ./result/hh_runge_0120.txt
# dt = 120 [usec]
# t [usec], V [mV]
0, -65.000000
120, -64.999638
240, -64.999278
360, -64.998921
480, -64.998567
600, -64.998215
720, -64.997866
840, -64.997519
960, -64.997175
1080, -64.996832
1200, -64.996492
1320, -64.996154
1440, -64.995818
1560, -64.995484
1680, -64.995152
1800, -64.994821
1920, -64.994493
2040, -64.994166
2160, -64.993841
2280, -64.993518
2400, -64.993196
2520, -64.992876
2640, -64.992557
2760, -64.992240
2880, -64.991924
3000, -64.991610
3120, -64.991297
3240, -64.990986
3360, -64.990676
3480, -64.990368
3600, -64.990060
3720, -64.989755
3840, -64.989450
3960, -64.989147
4080, -64.988845
4200, -64.988544
4320, -64.988245
4440, -64.987947
4560, -64.987650
4680, -64.987354
4800, -64.987060
4920, -64.986766
5040, -64.986474
5160, -64.986183
5280, -64.985893
5400, -64.985605
5520, -64.985317
5640, -64.985031
5760, -64.984746
5880, -64.984462
6000, -64.984179
6120, -64.983897
6240, -64.983616
6360, -64.983337
6480, -64.983058
6600, -64.982781
6720, -64.982505
6840, -64.982230
6960, -64.981956
7080, -64.981683
7200, -64.981411
7320, -64.981141
7440, -64.980871
7560, -64.980603
7680, -64.980335
7800, -64.980069
7920, -64.979804
8040, -64.979540
8160, -64.979277
8280, -64.979015
8400, -64.978754
8520, -64.978494
8640, -64.978235
8760, -64.977978
8880, -64.977721
9000, -64.977466
9120, -64.977212
9240, -64.976959
9360, -64.976706
9480, -64.976455
9600, -64.976206
9720, -64.975957
9840, -64.975709
9960, -64.975462
10080, -64.975217
10200, -64.974972
10320, -64.974729
10440, -64.974487
10560, -64.974245
10680, -64.974005
10800, -64.973766
10920, -64.973528
11040, -64.973292
11160, -64.973056
11280, -64.972821
11400, -64.972588
11520, -64.972355
11640, -64.972124
11760, -64.971894
11880, -64.971665
12000, -64.971437
12120, -64.971210
12240, -64.970984
12360, -64.970759
12480, -64.970535
12600, -64.970313
12720, -64.970091
12840, -64.969871
12960, -64.969652
13080, -64.969434
13200, -64.969217
13320, -64.969001
13440, -64.968786
13560, -64.968573
13680, -64.968360
13800, -64.968149
13920, -64.967938
14040, -64.967729
14160, -64.967521
14280, -64.967314
14400, -64.967108
14520, -64.966903
14640, -64.966699
14760, -64.966497
14880, -64.966295
15000, -64.966095
15120, -64.965896
15240, -64.965698
15360, -64.965500
15480, -64.965305
15600, -64.965110
15720, -64.964916
15840, -64.964723
15960, -64.964532
16080, -64.964342
16200, -64.964152
16320, -64.963964
16440, -64.963777
16560, -64.963591
16680, -64.963406
16800, -64.963223
16920, -64.963040
17040, -64.962859
17160, -64.962678
17280, -64.962499
17400, -64.962321
17520, -64.962144
17640, -64.961968
17760, -64.961793
17880, -64.961619
18000, -64.961446
18120, -64.961275
18240, -64.961104
18360, -64.960935
18480, -64.960767
18600, -64.960600
18720, -64.960434
18840, -64.960269
18960, -64.960105
19080, -64.959942
19200, -64.959781
19320, -64.959620
19440, -64.959461
19560, -64.959303
19680, -64.959145
19800, -64.958989
19920, -64.958834
20040, -64.958680
20160, -64.958527
20280, -64.958376
20400, -64.958225
20520, -64.958075
20640, -64.957927
20760, -64.957780
20880, -64.957633
21000, -64.957488
21120, -64.957344
21240, -64.957201
21360, -64.957059
21480, -64.956918
21600, -64.956778
21720, -64.956639
21840, -64.956502
21960, -64.956365
22080, -64.956230
22200, -64.956095
22320, -64.955962
22440, -64.955830
22560, -64.955698
22680, -64.955568
22800, -64.955439
22920, -64.955311
23040, -64.955184
23160, -64.955058
23280, -64.954934
23400, -64.954810
23520, -64.954687
23640, -64.954566
23760, -64.954445
23880, -64.954325
24000, -64.954207
24120, -64.954090
24240, -64.953973
24360, -64.953858
24480, -64.953744
24600, -64.953630
24720, -64.953518
24840, -64.953407
24960, -64.953297
25080, -64.953188
25200, -64.953080
25320, -64.952973
25440, -64.952867
25560, -64.952762
25680, -64.952658
25800, -64.952555
25920, -64.952453
26040, -64.952352
26160, -64.952252
26280, -64.952153
26400, -64.952056
26520, -64.951959
26640, -64.951863
26760, -64.951768
26880, -64.951674
27000, -64.951582
27120, -64.951490
27240, -64.951399
27360, -64.951309
27480, -64.951221
27600, -64.951133
27720, -64.951046
27840, -64.950960
27960, -64.950875
28080, -64.950792
28200, -64.950709
28320, -64.950627
28440, -64.950546
28560, -64.950466
28680, -64.950387
28800, -64.950309
28920, -64.950232
29040, -64.950156
29160, -64.950081
29280, -64.950007
29400, -64.949934
29520, -64.949862
29640, -64.949791
29760, -64.949721
29880, -64.949651
30000, -64.949583
30120, -64.949515
30240, -64.949449
30360, -64.949383
30480, -64.949319
30600, -64.949255
30720, -64.949192
30840, -64.949131
30960, -64.949070
31080, -64.949010
31200, -64.948951
31320, -64.948893
31440, -64.948836
31560, -64.948779
31680, -64.948724
31800, -64.948670
31920, -64.948616
32040, -64.948563
32160, -64.948512
32280, -64.948461
32400, -64.948411
32520, -64.948362
32640, -64.948314
32760, -64.948266
32880, -64.948220
33000, -64.948175
33120, -64.948130
33240, -64.948086
33360, -64.948043
33480, -64.948001
33600, -64.947960
33720, -64.947920
33840, -64.947881
33960, -64.947842
34080, -64.947804
34200, -64.947768
34320, -64.947732
34440, -64.947696
34560, -64.947662
34680, -64.947629
34800, -64.947596
34920, -64.947564
35040, -64.947533
35160, -64.947503
35280, -64.947474
35400, -64.947446
35520, -64.947418
35640, -64.947391
35760, -64.947365
35880, -64.947340
36000, -64.947316
36120, -64.947292
36240, -64.947269
36360, -64.947247
36480, -64.947226
36600, -64.947206
36720, -64.947186
36840, -64.947167
36960, -64.947149
37080, -64.947132
37200, -64.947116
37320, -64.947100
37440, -64.947085
37560, -64.947071
37680, -64.947058
37800, -64.947045
37920, -64.947033
38040, -64.947022
38160, -64.947012
38280, -64.947002
38400, -64.946994
38520, -64.946985
38640, -64.946978
38760, -64.946972
38880, -64.946966
39000, -64.946961
39120, -64.946956
39240, -64.946952
39360, -64.946950
39480, -64.946947
39600, -64.946946
39720, -64.946945
39840, -64.946945
39960, -64.946945
40080, -64.946947
40200, -64.946949
40320, -64.946952
40440, -64.946955
40560, -64.946959
40680, -64.946964
40800, -64.946969
40920, -64.946975
41040, -64.946982
41160, -64.946990
41280, -64.946998
41400, -64.947007
41520, -64.947016
41640, -64.947026
41760, -64.947037
41880, -64.947049
42000, -64.947061
42120, -64.947074
42240, -64.947087
42360, -64.947101
42480, -64.947116
42600, -64.947131
42720, -64.947147
42840, -64.947164
42960, -64.947181
43080, -64.947199
43200, -64.947217
43320, -64.947236
43440, -64.947256
43560, -64.947276
43680, -64.947297
43800, -64.947319
43920, -64.947341
44040, -64.947364
44160, -64.947387
44280, -64.947411
44400, -64.947435
44520, -64.947460
44640, -64.947486
44760, -64.947512
44880, -64.947539
45000, -64.947566
45120, -64.947594
45240, -64.947623
45360, -64.947652
45480, -64.947681
45600, -64.947711
45720, -64.947742
45840, -64.947773
45960, -64.947805
46080, -64.947837
46200, -64.947870
46320, -64.947903
46440, -64.947937
46560, -64.947972
46680, -64.948007
46800, -64.948042
46920, -64.948078
47040, -64.948115
47160, -64.948152
47280, -64.948189
47400, -64.948227
47520, -64.948266
47640, -64.948305
47760, -64.948344
47880, -64.948384
48000, -64.948425
48120, -64.948466
48240, -64.948507
48360, -64.948549
48480, -64.948592
48600, -64.948635
48720, -64.948678
48840, -64.948722
48960, -64.948766
49080, -64.948811
49200, -64.948856
49320, -64.948902
49440, -64.948948
49560, -64.948994
49680, -64.949041
49800, -64.949088
49920, -64.949136
50040, -64.949185
50160, -64.949233
50280, -64.949282
50400, -64.949332
50520, -64.949382
50640, -64.949432
50760, -64.949483
50880, -64.949534
51000, -64.949586
51120, -64.949638
51240, -64.949690
51360, -64.949743
51480, -64.949796
51600, -64.949850
51720, -64.949904
51840, -64.949958
51960, -64.950013
52080, -64.950068
52200, -64.950123
52320, -64.950179
52440, -64.950235
52560, -64.950292
52680, -64.950349
52800, -64.950406
52920, -64.950464
53040, -64.950522
53160, -64.950580
53280, -64.950639
53400, -64.950698
53520, -64.950757
53640, -64.950817
53760, -64.950877
53880, -64.950937
54000, -64.950998
54120, -64.951059
54240, -64.951120
54360, -64.951182
54480, -64.951244
54600, -64.951306
54720, -64.951369
54840, -64.951432
54960, -64.951495
55080, -64.951558
55200, -64.951622
55320, -64.951686
55440, -64.951750
55560, -64.951815
55680, -64.951880
55800, -64.951945
55920, -64.952011
56040, -64.952076
56160, -64.952142
56280, -64.952209
56400, -64.952275
56520, -64.952342
56640, -64.952409
56760, -64.952477
56880, -64.952544
57000, -64.952612
57120, -64.952680
57240, -64.952748
57360, -64.952817
57480, -64.952886
57600, -64.952955
57720, -64.953024
57840, -64.953094
57960, -64.953163
58080, -64.953233
58200, -64.953304
58320, -64.953374
58440, -64.953445
58560, -64.953515
58680, -64.953587
58800, -64.953658
58920, -64.953729
59040, -64.953801
59160, -64.953873
59280, -64.953945
59400, -64.954017
59520, -64.954089
59640, -64.954162
59760, -64.954235
59880, -64.954308
60000, -64.954381
60120, -64.954454
60240, -64.954528
60360, -64.954602
60480, -64.954675
60600, -64.954749
60720, -64.954824
60840, -64.954898
60960, -64.954972
61080, -64.955047
61200, -64.955122
61320, -64.955197
61440, -64.955272
61560, -64.955347
61680, -64.955423
61800, -64.955498
61920, -64.955574
62040, -64.955650
62160, -64.955725
62280, -64.955801
62400, -64.955878
62520, -64.955954
62640, -64.956030
62760, -64.956107
62880, -64.956184
63000, -64.956260
63120, -64.956337
63240, -64.956414
63360, -64.956491
63480, -64.956568
63600, -64.956646
63720, -64.956723
63840, -64.956801
63960, -64.956878
64080, -64.956956
64200, -64.957033
64320, -64.957111
64440, -64.957189
64560, -64.957267
64680, -64.957345
64800, -64.957423
64920, -64.957502
65040, -64.957580
65160, -64.957658
65280, -64.957737
65400, -64.957815
65520, -64.957894
65640, -64.957972
65760, -64.958051
65880, -64.958130
66000, -64.958208
66120, -64.958287
66240, -64.958366
66360, -64.958445
66480, -64.958524
66600, -64.958603
66720, -64.958682
66840, -64.958761
66960, -64.958840
67080, -64.958919
67200, -64.958998
67320, -64.959077
67440, -64.959156
67560, -64.959236
67680, -64.959315
67800, -64.959394
67920, -64.959473
68040, -64.959553
68160, -64.959632
68280, -64.959711
68400, -64.959791
68520, -64.959870
68640, -64.959949
68760, -64.960028
68880, -64.960108
69000, -64.960187
69120, -64.960266
69240, -64.960346
69360, -64.960425
69480, -64.960504
69600, -64.960583
69720, -64.960663
69840, -64.960742
69960, -64.960821
70080, -64.960900
70200, -64.960979
70320, -64.961058
70440, -64.961137
70560, -64.961216
70680, -64.961295
70800, -64.961374
70920, -64.961453
71040, -64.961532
71160, -64.961611
71280, -64.961690
71400, -64.961769
71520, -64.961847
71640, -64.961926
71760, -64.962005
71880, -64.962083
