# ./result/hh_runge_0330.txt
# dt = 330 [usec]
# t [usec], V [mV]
0, -65.000000
330, -64.999010
660, -64.998041
990, -64.997090
1320, -64.996155
1650, -64.995236
1980, -64.994330
2310, -64.993438
2640, -64.992558
2970, -64.991690
3300, -64.990832
3630, -64.989986
3960, -64.989149
4290, -64.988321
4620, -64.987504
4950, -64.986695
5280, -64.985895
5610, -64.985105
5940, -64.984322
6270, -64.983549
6600, -64.982783
6930, -64.982027
7260, -64.981278
7590, -64.980538
7920, -64.979806
8250, -64.979083
8580, -64.978367
8910, -64.977660
9240, -64.976961
9570, -64.976271
9900, -64.975588
10230, -64.974914
10560, -64.974248
10890, -64.973591
11220, -64.972941
11550, -64.972300
11880, -64.971668
12210, -64.971043
12540, -64.970427
12870, -64.969819
13200, -64.969220
13530, -64.968629
13860, -64.968046
14190, -64.967472
14520, -64.966906
14850, -64.966349
15180, -64.965800
15510, -64.965259
15840, -64.964727
16170, -64.964203
16500, -64.963687
16830, -64.963180
17160, -64.962681
17490, -64.962191
17820, -64.961709
18150, -64.961235
18480, -64.960770
18810, -64.960313
19140, -64.959865
19470, -64.959424
19800, -64.958992
20130, -64.958569
20460, -64.958153
20790, -64.957746
21120, -64.957347
21450, -64.956956
21780, -64.956574
22110, -64.956199
22440, -64.955833
22770, -64.955475
23100, -64.955124
23430, -64.954782
23760, -64.954448
24090, -64.954122
24420, -64.953803
24750, -64.953493
25080, -64.953191
25410, -64.952896
25740, -64.952609
26070, -64.952330
26400, -64.952058
26730, -64.951795
27060, -64.951538
27390, -64.951290
27720, -64.951049
28050, -64.950815
28380, -64.950589
28710, -64.950370
29040, -64.950159
29370, -64.949955
29700, -64.949758
30030, -64.949568
30360, -64.949386
30690, -64.949210
31020, -64.949042
31350, -64.948881
31680, -64.948726
32010, -64.948579
32340, -64.948438
32670, -64.948304
33000, -64.948177
33330, -64.948056
33660, -64.947942
33990, -64.947834
34320, -64.947733
34650, -64.947639
34980, -64.947551
35310, -64.947469
35640, -64.947393
35970, -64.947323
36300, -64.947260
36630, -64.947202
36960, -64.947151
37290, -64.947105
37620, -64.947066
37950, -64.947032
38280, -64.947004
38610, -64.946981
38940, -64.946964
39270, -64.946953
39600, -64.946947
39930, -64.946946
40260, -64.946951
40590, -64.946961
40920, -64.946976
41250, -64.946997
41580, -64.947022
41910, -64.947052
42240, -64.947088
42570, -64.947128
42900, -64.947173
43230, -64.947222
43560, -64.947277
43890, -64.947336
44220, -64.947399
44550, -64.947467
44880, -64.947539
45210, -64.947615
45540, -64.947696
45870, -64.947781
46200, -64.947870
46530, -64.947963
46860, -64.948060
47190, -64.948161
47520, -64.948266
47850, -64.948374
48180, -64.948486
48510, -64.948602
48840, -64.948721
49170, -64.948844
49500, -64.948970
49830, -64.949100
50160, -64.949233
50490, -64.949369
50820, -64.949508
51150, -64.949650
51480, -64.949795
51810, -64.949943
52140, -64.950094
52470, -64.950248
52800, -64.950405
53130, -64.950564
53460, -64.950726
53790, -64.950891
54120, -64.951058
54450, -64.951227
54780, -64.951399
55110, -64.951573
55440, -64.951749
55770, -64.951927
56100, -64.952108
56430, -64.952290
56760, -64.952475
57090, -64.952661
57420, -64.952850
57750, -64.953040
58080, -64.953232
58410, -64.953425
58740, -64.953620
59070, -64.953817
59400, -64.954015
59730, -64.954215
60060, -64.954416
60390, -64.954618
60720, -64.954822
61050, -64.955026
61380, -64.955232
61710, -64.955439
62040, -64.955647
62370, -64.955856
62700, -64.956066
63030, -64.956277
63360, -64.956489
63690, -64.956701
64020, -64.956915
64350, -64.957128
64680, -64.957343
65010, -64.957558
65340, -64.957773
65670, -64.957989
66000, -64.958206
66330, -64.958423
66660, -64.958640
66990, -64.958857
67320, -64.959075
67650, -64.959292
67980, -64.959510
68310, -64.959728
68640, -64.959946
68970, -64.960165
69300, -64.960383
69630, -64.960600
69960, -64.960818
70290, -64.961036
